,sentence
424,"Ce serait ma faute."""
425,- Puis-je m'asseoir ?
426,S'enquit timidement le petit prince.
427,"- Je t'ordonne de t'asseoir, lui répondit le roi, qui ramena majestueusement un pan de son manteau d'hermine."
428,Mais le petit prince s'étonnait.
429,La planète était minuscule.
430,Sur quoi le roi pouvait-il bien régner ?
431,"- Sire .... Lui dit-il, je vous demande pardon de vous interroger ...

- Je t'ordonne de m'interroger, se hâta de dire le roi."
432,- Sire... sur quoi régnez-vous ?
433,"- Sur tout, répondit le roi, avec une grande simplicité."
434,- Sur tout ?
435,"Le roi d'un geste discret désigna sa planète, les autres planètes et les étoiles."
436,- Sur tout ça ?
437,dit le petit prince.
438,- Sur tout ça... répondit le roi.
439,Car non seulement c'était un monarque absolu mais c'était un monarque universel.
440,- Et les étoiles vous obéissent ?
441,"- Bien sûr, lui dit le roi."
442,Elles obéissent aussitôt.
443,Je ne tolère pas l'indiscipline.
444,Un tel pouvoir émerveilla le petit prince.
445,"S'il l'avait détenu lui-même, il aurait pu assister, non pas à quarante quatre, mais à soixante-douze, ou même a cent, ou même à deux cents couchers de soleil dans la même journée, sans avoir jamais à tirer sa chaise !"
446,"Et comme il se sentait un peu triste à cause du souvenir de sa petite planète abandonnée, il s'enhardit à solliciter une grâce du roi :

- Je voudrais voir un coucher de soleil... Faites-moi plaisir... Ordonnez au soleil de se coucher...

- Si j'ordonnais à un général de voler d'une fleur à l'autre à la façon d'un papillon, ou d'écrire une tragédie, ou de se changer en oiseau de mer, et si le général n'exécutait pas l'ordre reçu, qui, de lui ou de moi, serait dans son tort ?"
447,"- Ce serait vous, dit fermement le petit prince."
448,- Exact.
449,"Il faut exiger de chacun ce que chacun peut donner, reprit le roi."
450,L'autorité repose d'abord sur la raison.
451,"Si tu ordonnes à ton peuple d'aller se jeter à la mer, il fera la révolution."
452,J'ai le droit d'exiger l'obéissance parce que mes ordres sont raisonnables.
453,- Alors mon coucher de soleil?
454,Rappela le petit prince qui jamais n'oubliait une question une fois qu'il l'avait posée.
455,- Ton coucher de soleil tu l'auras.
456,Je l'exigerai.
457,"Mais j'attendrai, dans ma science du gouvernement, que les conditions soient favorables."
458,- Quand ça sera-t-il ?
459,S'informa le petit prince.
460,- Hem !
461,hem !
462,"Lui répondit le roi, qui consulta d'abord un gros calendrier, hem !"
463,hem !
464,"Ce sera, vers... vers... ce sera ce soir vers sept heures quarante !"
465,Et tu verras comme je suis bien obéi.
466,Le petit prince bâilla.
467,"Il regrettait son coucher de soleil manqué, Et puis il s'ennuyait déjà un peu :

- Je n'ai plus rien à faire ici, dit-il au roi."
468,Je vais repartir !
469,"- Ne pars pas, répondit le roi qui était si fier d'avoir un sujet."
470,"Ne pars pas, je te fais ministre

- Ministre de quoi ?"
471,"- De... de la justice

- Mais il n'y a personne à juger

- On ne sait pas, lui dit le roi."
472,Je n'ai pas fait encore le tour de mon royaume.
473,"Je suis très vieux, je n'ai pas de place pour un carrosse, et ça me fatigue de marcher."
474,Oh !
475,"Mais j'ai déjà vu, dit le petit prince qui se pencha pour jeter encore un coup d'oeil sur l'autre côté de la planète."
476,"Il n'y a personne là-bas non plus...

- Tu te jugeras donc toi-même, lui répondit le roi."
477,C'est le plus difficile.
478,Il est bien plus difficile de se juger soi-même que de juger autrui.
479,"Si tu réussis à bien te juger, c'est que tu es un véritable sage."
480,"- Moi, dit le petit prince, je puis me juger moi-même n'importe où."
481,Je n'ai pas besoin d'habiter ici.
482,- Hem !
483,hem !
484,"dit le roi, je crois bien que sur ma planète il y a quelque part un vieux rat."
485,Je l'entends la nuit.
486,Tu pourras juger ce vieux rat.
487,Tu le condamneras à mort de temps en temps.
488,Ainsi sa vie dépendra de ta justice.
489,Mais tu le gracieras chaque fois pour l'économiser.
490,Il n'y en a qu'un.
491,"- Moi, répondit le petit prince, je n'aime pas condamner à mort, et je crois bien que je m'en vais."
492,"- Non, dit le roi."
493,"Mais le petit prince, ayant achevé ses préparatifs, ne voulut point peiner le vieux monarque :

- Si Votre Majesté désirait être obéie ponctuellement, elle pourrait me donner un ordre raisonnable."
494,"Elle pourrait m'ordonner, par exemple, de partir avant une minute."
495,Il me semble que les conditions sont favorables... .
496,"Le roi n'ayant rien répondu, le petit prince hésita d'abord, puis, avec un soupir, prit le départ."
497,"- Je te fais mon ambassadeur, se hâta alors de crier le roi."
498,Il avait un grand air d'autorité.
499,"""Les grandes personnes sont bien étranges"", se dit le petit prince, en lui-même, durant son voyage."
501,"Voilà la visite d'un admirateur

S'écria de loin le vaniteux dès qu'il aperçut le petit prince."
502,"Car, pour les vaniteux, les autres hommes sont des admirateurs."
503,"- Bonjour, dit le petit prince."
504,Vous avez un drôle de chapeau.
505,"- C'est pour saluer, lui répondit le vaniteux."
506,C'est pour saluer quand on m'acclame.
507,Malheureusement il ne passe jamais personne par ici.
508,- Ah oui ?
509,dit le petit prince qui ne comprit pas.
510,"- Frappe tes mains l'une contre l'autre, conseilla donc le vaniteux."
511,Le petit prince frappa ses mains l'une contre l'autre.
512,Le vaniteux salua modestement en soulevant son chapeau.
513,"Ça c'est plus amusant que la visite au roi, se dit en, lui-même le petit prince."
514,Et il recommença de frapper ses mains l'une contre l'autre.
515,Le vaniteux recommença de saluer en soulevant son chapeau.
516,"Après cinq minutes d'exercice le petit prince se fatigua de la monotonie du jeu

Et pour que le chapeau tombe, demanda-t-il, -que faut-il faire ?"
517,Mais le vaniteux ne l'entendit pas.
518,Les vaniteux n'entendent jamais que les louanges.
519,Est-ce que tu m'admires vraiment beaucoup ?
520,demanda-t-il au petit prince.
521,- Qu'est-ce que signifie admirer ?
522,"- Admirer signifie reconnaître que je suis l'homme le plus beau, le mieux habillé, le plus riche et le plus intelligent de la planète."
523,"- Mais tu es seul sur ta planète

- Fais-moi ce plaisir."
524,"Admire-moi quand même

- Je t'admire, dit le petit prince, en haussant un peu les épaules, mais en quoi cela peut-il bien t'intéresser ?"
525,Et le petit prince s'en fut.
526,"""Les grandes personnes sont décidément bien bizarres"", se dit-il simplement en lui-même durant son voyage."
528,"Cette visite fut très courte mais elle plongea le petit prince dans une grande mélancolie :

- Que fais-tu là ?"
529,"dit-il au buveur, qu'il trouva installé en silence devant une collection de bouteilles vides et une collection de bouteilles pleines."
530,"- Je bois, répondit le buveur, d'un air lugubre."
531,- Pourquoi bois-tu ?
532,Lui demanda le petit prince.
533,"- Pour oublier, répondit le buveur."
534,- Pour oublier quoi ?
535,S'enquit le petit prince qui déjà le plaignait.
536,"- Pour oublier que j'ai honte, avoua le buveur en baissant la tête."
537,- Honte de quoi ?
538,S'informa le petit prince qui désirait le secourir.
539,- Honte de boire !
540,Acheva le buveur qui s'enferma définitivement dans le silence.
541,"Et le petit prince s'en fut, perplexe."
542,"""Les grandes personnes sont décidément très très bizarres"", se disait-il en lui-même durant le voyage."
544,Cet homme était si occupé qu'il ne leva même pas la tête à l'arrivée du petit prince.
545,"- Bonjour, lui dit celui-ci."
546,Votre cigarette est éteinte.
547,- Trois et deux font cinq.
548,Cinq et sept douze.
549,Douze et trois quinze.
550,Bonjour.
551,Quinze et sept vingt-deux.
552,Vingt-deux et six vingt-huit.
553,Pas le temps de la rallumer.
554,Vingt-six et cinq trente et un.
555,Ouf !
556,Ça fait donc cinq cent un millions six cent vingt-deux mille sept cent trente et un.
557,- Cinq cents millions de quoi ?
558,- Hein?
559,Tu es toujours là ?
560,Cinq cent un millions de... je ne sais plus... J'ai tellement de travail !
561,"Je suis sérieux, moi, je ne m'amuse pas à des balivernes !"
562,"Deux et cinq sept...
- Cinq cent un millions de quoi ?"
563,"Répéta le petit prince qui jamais de sa vie n'avait renoncé à une question, une fois qu'il l'avait posée."
564,"Le businessman leva la tête

- Depuis cinquante-quatre ans que j'habite cette planète-ci, je n'ai été dérangé que trois fois."
565,"La première fois ç'a été, il y a vingt-deux ans, par un hanneton qui était tombé Dieu sait d'où."
566,"Il répandait un bruit épouvantable, et j 'ai fait quatre erreurs dans une addition."
567,"La seconde fois ç'a été, il y a onze ans, par une crise de rhumatisme."
568,Je manque d'exercice.
569,Je n'ai pas le temps de flâner.
570,"Je suis sérieux, moi."
571,La troisième fois... la voici !
572,"Je disais donc cinq cent un millions...

- Millions de quoi ?"
573,"Le businessman comprit qu'il n'était point d'espoir de paix :

- Millions de ces petites choses que l'on voit quelquefois dans le ciel."
574,- Des mouches ?
575,"- Mais non, des petites choses qui brillent."
576,- Des abeilles ?
577,- Mais non.
578,Des petites choses dorées qui font rêvasser les fainéants.
579,"Mais je suis sérieux, moi !"
580,Je n'ai pas le temps de rêvasser.
581,- Ah !
582,Des étoiles ?
583,- C'est bien ça.
584,Des étoiles.
585,- Et que fais-tu de cinq cents millions d'étoiles ?
586,- Cinq cent un millions six cent vingt-deux mille sept cent trente et un.
587,"Je suis sérieux, moi, je suis précis."
588,- Et que fais-tu de ces étoiles ?
589,- Ce que j'en fais ?
590,- Oui.
591,- Rien.
592,Je les possède.
593,- Tu possèdes les étoiles ?
594,- Oui.
595,"- Mais j'ai déjà vu un roi qui...

- Les rois ne possèdent pas."
596,"Ils""règnent""sur."
597,C'est très différent.
598,"- Et à quoi cela te sert-il de posséder les étoiles

- ça me sert à être riche."
599,- Et à quoi cela te sert-il d'être riche ?
600,"- À acheter d'autres étoiles, si quelqu'un en trouve."
601,"""Celui-là, se dit en lui-même le petit prince, il raisonne un peu comme mon ivrogne."""
602,"Cependant il posa encore des questions :

- Comment peut-on posséder les étoiles ?"
603,- À qui sont-elles ?
604,"Riposta, grincheux, le businessman."
605,- Je ne sais pas.
606,À personne.
607,"- Alors elles sont à moi, car j'y ai pensé le premier

- Ça suffit ?"
608,- Bien sûr.
609,"Quand tu trouves un diamant qui n'est à personne, il est à toi."
610,"Quand tu trouves une île qui n'est à personne, elle est à toi."
611,"Quand tu as une idée le premier, tu la fais breveter : elle est à toi."
612,"Et moi je possède les étoiles, puisque jamais personne avant moi n'a songé à les posséder."
613,"- Ça c'est vrai, dit le petit prince."
614,Et qu'en fais-tu ?
615,- Je les gère.
616,"Je les compte et je les recompte, dit le businessman."
617,C'est difficile.
618,Mais je suis un homme sérieux !
619,Le petit prince n'était pas satisfait encore.
620,"- Moi, si je possède un foulard, je puis le mettre autour de mon cou et l'emporter."
621,"Moi, si je possède une fleur, je puis cueillir ma fleur et l'emporter."
622,Mais tu ne peux pas cueillir les étoiles !
623,"- Non, mais je puis les placer en banque."
624,- Qu'est-ce que ça veut dire ?
625,- ça veut dire que j'écris sur un petit papier le nombre de mes étoiles.
626,Et puis j'enferme à clef ce papier là dans un tiroir.
627,- Et c'est tout ?
628,- Ça suffit !
629,"""C'est amusant, pensa le petit prince."
630,C'est assez poétique.
631,"Mais ce n'est pas très sérieux."""
632,Le petit prince avait sur les choses sérieuses des idées très différentes des idées des grandes personnes.
633,"- Moi, dit-il encore, je possède une fleur que j'arrose tous les jours."
634,Je possède trois volcans que je ramone toutes les semaines.
635,Car je ramone aussi celui qui est éteint.
636,On ne sait jamais.
637,"C'est utile à mes volcans, et c'est utile à ma fleur, que je les possède."
638,Mais tu n'es pas utile aux étoiles.
639,"Le businessman ouvrit la bouche mais né trouva rien à répondre, et le petit prince s'en fut."
640,"""Les grandes personnes sont décidément tout à fait extraordinaires"", se disait-il simplement en lui-même durant le voyage."
642,C'était la plus petite de toutes.
643,Il y avait là juste assez de place pour loger un réverbère et un allumeur de réverbères.
644,"Le petit prince ne parvenait pas à s'expliquer à quoi pouvaient servir, quelque part dans le ciel, sur une planète sans maison, ni population, un réverbère et un allumeur de réverbères."
645,"Cependant il se dit en lui-même :

""Peut-être bien que cet homme est absurde."
646,"Cependant il est moins absurde que le roi, que le vaniteux, que le businessman et que le buveur."
647,Au moins son travail a-t-il un sens.
648,"Quand il allume son réverbère, c'est comme s'il faisait naître une étoile de plus, ou une fleur."
649,"Quand il éteint son réverbère, ça endort la fleur ou l'étoile."
650,C'est une occupation très jolie.
651,"C'est véritablement utile puisque c'est joli."""
652,"Lorsqu'il aborda la planète il salua respectueusement l'allumeur :

- Bonjour."
653,Pourquoi viens-tu d'éteindre ton réverbère ?
654,"- C'est la consigne, répondit l'allumeur."
655,Bonjour.
656,- Qu'est-ce que la consigne ?
657,- C'est d'éteindre mon réverbère.
658,Bonsoir.
659,Et il le ralluma.
660,- Mais pourquoi viens-tu de le rallumer ?
661,"- C'est la consigne, répondit l'allumeur."
662,"- Je ne comprends pas, dit le petit prince."
663,"- Il n'y a rien à comprendre, dit l'allumeur."
664,La consigne c'est la consigne.
665,Bonjour.
666,Et il éteignit son réverbère.
667,Puis il s'épongea le front avec un mouchoir à carreaux rouges.
668,- Je fais là un métier terrible.
669,C'était raisonnable autrefois.
670,J'éteignais le matin et j'allumais le soir.
671,"J'avais le reste du jour pour me reposer, et le reste de la nuit pour dormir...

- Et, depuis cette époque, la consigne a changé?"
672,"- La consigne n'a pas changé, dit l'allumeur."
673,C'est bien là le drame !
674,"La planète d'année en année a tourné de plus en plus vite, et la consigne n'a pas changé

- Alors ?"
675,dit le petit prince.
676,"- Alors maintenant qu'elle fait un tour par minute, je n'ai plus une seconde de repos."
677,J'allume et j'éteins une fois par minute !
678,- Ça c'est drôle !
679,Les jours chez toi durent une minute !
680,"- Ce n'est pas drôle du tout, dit l'allumeur."
681,Ça fait déjà un mois que nous parlons ensemble.
682,- Un mois ?
683,Oui.
684,Trente minutes.
685,Trente jours !
686,Bonsoir.
687,Et il ralluma son réverbère.
688,Le petit prince le regarda et aima cet allumeur qui était tellement fidèle à la consigne.
689,"Il se souvint des couchers de soleil que lui-même allait autrefois chercher, en tirant sa chaise."
690,"Il voulut aider son ami :

- Tu sais... je connais un moyen de te reposer quand tu voudras...

- Je veux toujours, dit l'allumeur."
691,"Car on peut être, à la fois, fidèle et paresseux."
692,"Le petit prince poursuivit :

- Ta planète est tellement petite que tu en fais le tour en trois enjambées."
693,Tu n'as qu'à marcher assez lentement pour rester toujours au soleil.
694,Quand tu voudras te reposer tu marcheras... et le jour durera aussi longtemps que tu voudras.
695,"- ça ne m'avance pas à grand-chose, dit l'allumeur."
696,"Ce que j'aime dans la vie, c'est dormir."
697,"- Ce n'est pas de chance, dit le petit prince."
698,"- Ce n'est pas de chance, dit l'allumeur."
699,Bonjour.
700,Et il éteignit son réverbère.
701,"""Celui-là, se dit le petit prince, tandis qu'il poursuivait plus loin son voyage, celui-là serait méprisé par tous les autres, par le roi, par le vaniteux, par le buveur, par le businessman."
702,"Cependant, c'est le seul qui ne me paraisse pas ridicule."
703,"C'est, peut-être, parce qu'il s'occupe d'autre chose que de soi-même."""
704,"Il eut un soupir de regret et se dit encore

""Celui-là est le seul dont j'eusse pu faire mon ami."
705,Mais sa planète est vraiment trop petite.
706,"Il n'y a pas de place pour deux...""

Ce que le petit prince n'osait pas s'avouer, c'est qu'il regrettait cette planète bénie à cause, surtout, des mille quatre cent quarante couchers de soleil par vingt-quatre heures !"
708,Elle était habitée par un vieux Monsieur qui écrivait d'énormes livres.
709,- Tiens !
710,Voilà un explorateur !
711,"S'écria-t-il, quand il aperçut le petit prince."
712,Le petit prince s'assit sur la table et souffla un peu.
713,Il avait déjà tant voyagé !
714,- D'où viens-tu ?
715,Lui dit le vieux Monsieur.
716,- Quel est ce gros livre ?
717,dit le petit prince.
718,Que faites-vous ici ?
719,"- Je suis géographe, dit le vieux Monsieur."
720,- Qu'est-ce qu'un géographe ?
721,"- C'est un savant qui connaît où se trouvent les mers, les fleuves, les villes, les montagnes et les déserts."
722,"- Ça c'est bien intéressant, dit le petit prince."
723,Ça c'est enfin un véritable métier !
724,Et il jeta un coup d'oeil autour de lui sur la planète du géographe.
725,Il n'avait jamais vu encore une planète aussi majestueuse.
726,"- Elle est bien belle, votre planète."
727,Est-ce qu'il y a des océans ?
728,"- Je ne puis pas le savoir, dit le géographe'

- Ah !"
729,(Le petit prince était déçu.)
730,Et des montagnes ?
731,"- Je ne puis pas le savoir, dit le géographe."
732,- Et des villes et des fleuves et des déserts ?
733,"- Je ne puis pas le savoir non plus, dit le géographe."
734,- Mais vous êtes géographe !
735,"- C'est exact, dit le géographe, mais je ne suis pas explorateur."
736,Je manque absolument d'explorateurs.
737,"Ce n'est pas le géographe qui va faire le compte des villes, des fleuves, des montagnes, des mers, des océans et des déserts."
738,Le géographe est trop important pour flâner.
739,Il ne quitte pas son bureau.
740,Mais il y reçoit les explorateurs.
741,"Il les interroge, et il prend en note leurs souvenirs."
742,"Et si les souvenirs de l'un d'entre eux lui paraissent intéressants, le géographe fait faire une enquête sur la moralité de l'explorateur."
743,- Pourquoi ça ?
744,- Parce qu'un explorateur qui mentirait entraînerait des catastrophes dans les livres de géographie.
745,Et aussi un explorateur qui boirait trop.
746,- Pourquoi ça ?
747,fit le petit prince.
748,- Parce que les ivrognes voient double.
749,Alors le géographe noterait deux montagnes là où il n'y en a qu'une seule.
750,"- Je connais quelqu'un, dit le petit prince, qui serait mauvais explorateur."
751,- C'est possible.
752,"Donc, quand la moralité de l'explorateur paraît bonne, on fait une enquête sur sa découverte."
753,- On va voir ?
754,- Non.
755,C'est trop compliqué.
756,Mais on exige de l'explorateur qu'il fournisse des preuves.
757,"S'il s'agit par exemple de la découverte d'une grosse montagne, on exige qu'il en rapporte de grosses pierres."
758,Le géographe soudain s'émut.
759,"- Mais toi, tu viens de loin !"
760,Tu es explorateur !
761,Tu vas me décrire ta planète !
762,"Et le géographe, ayant ouvert son registre, tailla son crayon."
763,On note d'abord au crayon les récits des explorateurs.
764,"On attend, pour noter à l'encre, que l'explorateur ait fournie des preuves."
765,- Alors ?
766,Interrogea le géographe.
767,- Oh !
768,"Chez moi, dit le petit prince, ce n'est pas très intéressant, c'est tout petit."
769,J'ai trois volcans.
770,"Deux volcans en activité, et un volcan éteint."
771,Mais on ne sait jamais.
772,"- On ne sait jamais, dit le géographe."
773,- J'ai aussi une fleur.
774,"- Nous ne notons pas les fleurs, dit le géographe."
775,- Pourquoi ça !
776,C'est le plus joli !
777,- Parce que les fleurs sont éphémères.
778,"- Qu'est-ce que signifie""éphémère""?"
779,"- Les géographies, dit le géographe, sont les livres les plus précieux de tous les livres."
780,Elles ne se démodent jamais.
781,Il est très rare qu'une montagne change de place.
782,Il est très rare qu'un océan se vide de son eau.
783,Nous écrivons des choses éternelles.
784,"- Mais les volcans éteints peuvent se réveiller, interrompit le petit prince."
785,"Qu'est-ce que signifie""éphémère""?"
786,"- Que les volcans soient éteints ou soient éveillés, ça revient au même pour nous autres, dit le géographe."
787,"Ce qui compte pour nous, c'est la montagne."
788,Elle ne change pas.
789,"- Mais qu'est-ce que signifie""éphémère""?"
790,"répéta le petit prince qui, de sa vie, n'avait renoncé à une question, une fois qu'il l'avait posée."
791,"- Ça signifie""qui est menacé de disparition prochaine""."
792,- Ma fleur est menacée de disparition prochaine ?
793,- Bien sûr.
794,"""Ma fleur est éphémère, se dit le petit prince, et elle n'a que quatre épines pour se défendre contre le monde !"
795,"Et je l'ai laissée toute seule chez moi !"""
796,Ce fut là son premier mouvement de regret.
797,"Mais il reprit courage :

Que me conseillez-vous d'aller visiter ?"
798,"demanda-

La planète Terre, lui répondit le géographe."
799,Elle a une bonne réputation...
800,"Et le petit prince s'en fut, songeant à sa fleur."
802,La Terre n'est pas une planète quelconque !
803,"On y compte cent onze rois (en n'oubliant pas, bien sûr, les rois nègres), sept mille géographes, neuf cent mille businessman, sept millions et demi d'ivrognes, trois cent onze millions de vaniteux, c'est-à-dire environ deux milliards de grandes personnes."
804,"Pour vous donner une idée des dimensions de la Terre je vous dirai qu'avant l'invention de l'électricité on y devait entretenir, sur l'ensemble des six continents, une véritable armée de quatre cent soixante-deux mille cinq cent onze allumeurs de réverbères."
805,Vu d'un peu loin ça faisait un effet splendide.
806,Les mouvements de cette armée étaient réglés comme ceux d'un ballet d'opéra.
807,D'abord venait le tour des allumeurs de réverbères de Nouvelle-Zélande et d'Australie.
808,"Puis ceux-ci, ayant allumé leurs lampions, s'en allaient dormir."
809,Alors entraient à leur tour dans la danse les allumeurs de réverbères de Chine et de Sibérie.
810,Puis eux aussi s'escamotaient dans les coulisses.
811,Alors venait le tour des allumeurs de réverbères de Russie et des Indes.
812,Puis de ceux d'Afrique et d'Europe.
813,Puis de ceux d'Amérique du Sud.
814,Puis de ceux d'Amérique du Nord.
815,Et jamais ils ne se trompaient dans leur ordre d'entrée en scène.
816,C'était grandiose.
817,"Seuls, l'allumeur de l'unique réverbère du pôle Nord, et son confrère de l'unique réverbère du pôle Sud, menaient des vies d'oisiveté et de nonchalance : ils travaillaient deux fois par an."
819,Je n'ai pas été très honnête en vous parlant des allumeurs de réverbères.
820,Je risque de donner une fausse idée de notre planète à ceux qui ne la connaissent pas.
821,Les hommes occupent très peu de place sur la terre.
822,"Si les deux milliards d'habitants qui peuplent la terre se tenaient debout et un peu serrés, comme pour un meeting, ils logeraient aisément sur une place publique de vingt milles de long sur vingt milles de large."
823,On pourrait entasser l'humanité sur le moindre petit îlot du Pacifique.
824,"Les grandes personnes, bien sûr, ne vous croiront pas."
825,Elles s'imaginent tenir beaucoup de place.
826,Elles se voient importantes comme des baobabs.
827,Vous leur conseillerez donc de faire le calcul.
828,Elles adorent les chiffres : ça leur plaira.
829,Mais ne perdez pas votre temps à ce pensum.
830,C'est inutile.
831,Vous avez confiance en moi.
832,"Le petit prince, une fois sur terre, fut donc bien surpris de ne voir personne."
833,"Il avait déjà peur de s'être trompé de planète, quand un anneau couleur de lune remua dans le sable."
834,"- Bonne nuit, fit le petit prince à tout hasard."
835,"- Bonne nuit, fit le serpent."
836,- Sur quelle planète suis-je tombé ?
837,demanda le petit prince.
838,"- Sur la Terre, en Afrique, répondit le serpent."
839,- Ah !
840,... Il n'y a donc personne sur la Terre ?
841,- Ici c'est le désert.
842,Il n'y a personne dans les déserts.
843,"La Terre est grande, dit le serpent."
844,"Le petit prince s'assit sur une pierre et leva les yeux vers le ciel :

- Je me demande, dit-il, si les étoiles sont éclairées afin que chacun puisse un jour retrouver la sienne."
845,Regarde ma planète.
846,Elle est juste au-dessus de nous... Mais comme elle est loin !
847,"- Elle est belle, dit le serpent."
848,Que viens-tu faire ici ?
849,"- J'ai des difficultés avec une fleur, dit le petit prince."
850,- Ah !
851,fit le serpent.
852,Et ils se turent.
853,- Où sont les hommes ?
854,reprit enfin le petit prince.
855,"On est un peu seul dans le désert...

- On est seul aussi chez les hommes, dit le serpent."
856,"Le petit prince le regarda longtemps :

- Tu es une drôle de bête, lui dit-il enfin, mince comme un doigt...

- Mais je suis plus puissant que le doigt d'un roi, dit le serpent."
857,"Le petit prince eut un sourire

- Tu n'es pas bien puissant... tu n'as même pas de Pattes... tu ne Peux même pas voyager."
858,"- Je puis t'emporter plus loin qu'un navire, dit le serpent."
859,"Il s'enroula autour de la cheville du petit prince, comme un bracelet d'or :

- Celui que je touche, je le rends à la terre dont il est sorti, dit-il encore."
860,Mais tu es pur et tu viens d'une étoile...
861,Le petit prince ne répondit rien.
862,"- Tu me fais pitié, toi si faible, sur cette Terre de granit."
863,Je puis t'aider un jour si tu regrettes trop ta planète.
864,"Je puis ...

- Oh !"
865,"J'ai très bien compris, fit le petit prince, mais pourquoi parles-tu toujours par énigmes ?"
866,"- Je les résous toutes, dit le serpent."
867,Et ils se turent.
869,"Une fleur à trois pétales, une fleur de rien du tout...

- Bonjour, dit le prince."
870,"- Bonjour, dit la fleur."
871,- Où sont les hommes ?
872,demanda poliment le petit prince.
873,"La fleur, un jour, avait vu passer une caravane

- Les hommes ?"
874,"Il en existe, je crois, six ou sept. Je les ai aperçus il y a des années."
875,Mais on ne sait jamais où les trouver.
876,Le vent les promène.
877,"Ils manquent de racines, ça les gêne beaucoup."
878,"- Adieu, fit le petit prince."
879,"- Adieu, dit la fleur."
881,Les seules montagnes qu'il eût jamais connues étaient les trois volcans qui lui arrivaient au genou.
882,Et il se servait du volcan éteint comme d'un tabouret.
883,"""D'une montagne haute comme celle-ci, se dit-il donc, j'apercevrai d'un coup toute la planète et tous les hommes...""Mais il n'aperçut rien que des aiguilles de roc bien aiguisées."
884,"- Bonjour, dit-il à tout hasard."
885,- Bonjour... bonjour... bonjour... répondit l'écho.
886,- Qui êtes-vous ?
887,dit le petit prince.
888,- Qui êtes-vous... qui êtes-vous... qui êtes-vous... répondit l'écho.
889,"- Soyez mes amis, je suis seul, dit-il."
890,- Je suis seul ... je suis seul... je suis seul ... répondit l'écho.
891,"""Quelle drôle de planète !"
892,pensa-t-il alors.
893,"Elle est toute sèche, et toute pointue et toute salée."
894,Et les hommes manquent d'imagination.
896,Et les routes vont toutes chez les hommes.
897,"- Bonjour, dit-il."
898,C'était un jardin fleuri de roses.
899,"- Bonjour, dirent les roses."
900,Le petit prince les regarda.
901,Elles ressemblaient toutes à sa fleur.
902,- Qui êtes-vous ?
903,"Leur demanda-t-il, stupéfait."
904,"- Nous sommes des roses, dirent les roses."
905,- Ah !
906,fit le petit prince...
907,Et il se sentit très malheureux.
908,Sa fleur lui avait raconté qu'elle était seule de son espèce dans l'univers.
909,"Et voici qu'il en était cinq mille, toutes semblables, dans un seul jardin !"
910,"""Elle serait bien vexée, se dit-il, si elle voyait ça... elle tousserait énormément et ferait semblant de mourir pour échapper au ridicule."
911,"Et je serais bien obligé de faire semblant de la soigner, car, sinon, pour m'humilier moi aussi, elle se laisserait vraiment mourir...""

Puis il se dit encore :""Je me croyais riche d'une fleur unique, et je ne possède qu'une rose ordinaire."
912,"Ça et mes trois volcans qui m'arrivent au genou, et dont l'un, peut-être, est éteint pour toujours, ça ne fait pas de moi un bien grand prince ...""Et, couché dans l'herbe, il pleura."
914,"- Bonjour, dit le renard."
915,"- Bonjour, répondit poliment le petit prince, qui se retourna mais ne vit rien."
916,"- Je suis là, dit la voix, sous le pommier...

- Qui es-tu ?"
917,dit le Petit prince.
918,"Tu es bien joli...

- Je suis un renard, dit le renard."
919,"- Viens jouer avec moi, lui proposa le petit prince."
920,"Je suis tellement triste...

- Je ne puis pas jouer avec toi, dit le renard."
921,Je ne suis pas apprivoisé.
922,- Ah !
923,"Pardon, fit le petit prince."
924,"Mais, après réflexion, il ajouta :

- Qu'est-ce que signifie""apprivoiser""?"
925,"- Tu n'es pas d'ici, dit le renard, que cherches-tu ?"
926,"- Je cherche les hommes, dit le petit prince."
927,"Qu'est ce que signifie""apprivoiser""?"
928,"- Les hommes, dit le renard, ils ont des fusils et ils chassent."
929,C'est bien gênant !
930,Ils élèvent aussi des poules.
931,C'est leur seul intérêt.
932,Tu cherches des poules ?
933,"- Non, dit le petit prince."
934,Je cherche des amis.
935,"Qu'est-ce que signifie""apprivoiser""?"
936,"- C'eft une chose trop oubliée, dit le renard."
937,"Ça signifie""créer des liens...""

- Créer des liens ?"
938,"- Bien sûr, dit le renard."
939,Tu n'es encore pour moi qu'un petit garçon tout semblable à cent mille petits garçons.
940,Et je n'ai pas besoin de toi.
941,Et tu n'as pas besoin de moi non plus.
942,Je ne suis pour toi qu'un renard semblable à cent raille renards.
943,"Mais, si tu m'apprivoises, nous aurons besoin l'un de l'autre."
944,Tu seras pour moi unique au monde.
945,"je serai pour toi unique au monde...

- je commence à comprendre, dit le petit prince."
946,"Il y a une fleur... je crois qu'elle m'a apprivoisé...

- C'est possible, dit le renard."
947,"On voit sur la Terre toutes sortes de choses...

- Oh !"
948,"ce n'est pas sur la Terre, dit le petit prince."
949,"Le renard parut très intrigué

- Sur une autre planète ?"
950,- Oui.
951,"- Il y a des chasseurs, sur cette planète-là ?"
952,- Non.
953,"- ça, c'est intéressant !"
954,Et des poules ?
955,- Non.
956,"- Rien n'est parfait, soupira le renard."
957,"Mais le renard revint à son idée :

- Ma vie est monotone."
958,"Je chasse les poules, les hommes me chassent."
